Name,ID,R.A. (J2000),Dec. (J2000),Gal_l (deg),Gal_l_err,Gal_b (deg),Gal_b_err,Period (min),Pdot_ul,Pdot (s/s),Pdot_err,Duty cycle,Total polarization fraction,Linear polarization fraction,Circular polarization fraction,DM (pc/cm^3),DM_err,RM (rad/m^2),RM_err,Notes,References
GCRT J1745-3009,LPT J1745-3009,17:45:05(1),-30:09:52(10),358.891,0.003,-0.541,0.003,76.2,-,-,-,~0.13,up to 100%,-,up to 100%,-,-,-,-,First discovered LPT-like source,hlk+05:astro-ph/0503052; rhl+10:1001.5394
GLEAM-X J162759.5-523504.3,LPT J1627-5235,16:27:59.5(1),-52:35:04(2),332.465,0.001,-2.601,0.001,18.2,True,1.2e-9,-,0.03-0.06,-,88 ± 1%,-,57,1,-61,1,First modern LPT,hzb+22:2503.08033; rzd+22:2210.01903
GPM J1839-10,LPT J1839-1031,18:39:02.00(1),-10:31:49.37(15),22.15268,0.00004,-2.06297,0.00004,22.0,True,3.6e-13,-,0.02-0.2,-,10-100%,≤10%,273.5,2.5,-531.83,0.14,Active for three decades,hrm+23:2503.08036; mbq+26:2602.13742
ASKAP J1935+2148,LPT J1935+2148,19:35:05.18(2),21:48:41.5(6),57.1904,0.0001,0.7453,0.0002,53.8,True,1.2e-10,-,0.0001-0.015,-,>90%; ~40%,<3%; >70%,145.8,3.5,159.1,0.3,Three emission states,clk+24:2407.12266
ASKAP J1755-2527,LPT J1755-2527,17:55:34.87(2),-25:27:49.9(4),4.1164,0.0001,-0.1227,0.0001,69.8,True,8.2e-11,-,0.01-0.04,-,>60%,~40%,733,22,962,2,Significantly scattered and intermittent,dzo+24:2406.12352; mhh+25:2507.14448
CHIME J0630+25,LPT J0636+2526,06:30:38(4),25:26:23(60),187.92,0.02,7.07,0.02,7.0,False,5.2e-12,1.1e-12,0.03-0.05,-,-,-,22,1,-347.8,0.6,Found with a timing glitch,dcc+24:2407.07480
ILT J1101+5521,LPT J1101+5521,11:01:50.5(1),55:21:19.61(39),150.4551,0.0005,55.5200,0.0001,125.5,True,5.7e-12,-,0.004-0.012,-,13-51%,<4.2%,16,6,4.72,0.14,White dwarf-M dwarf binary,rrb+24:2408.11536; rer+26:2604.18688
GLEAM-X J0704−37,LPT J0704-3706,07:04:13.19(2),-37:06:14.3(3),247.9122,0.0001,-13.6218,0.0001,174.9,True,1.3e-11,-,0.003-0.006,-,20-50%,10-30%,36.541,0.005,-7,1,White dwarf-M dwarf binary,hmb+24:2408.15757; r+25:2501.03315
ASKAP/DART J1832-0911,LPT J1832-0911,18:32:08.45889(33),-09:11:15.297(5),22.564604,0.000001,0.061966,0.000001,44.3,True,9.8e-10,-,0.05-0.1,92 ± 3%,94%,~64%,458,14,90.5,0.1,Transient X-ray counterpart,wrb+24:2411.16606; lyw+24:2411.15739
ASKAP J183950.5-075635.0,LPT J1839-0756,18:39:50.57(2),-07:56:39.17(15),24.54440,0.00009,-1.05687,0.00004,387.0,True,5.3e-8,-,0.014-0.031,-,main 60-90%; interpulse ~90%,main 30-60%; interpulse <10%,188.4,1.7,214,1,Slowest LPT,lcm+25:2501.09133
CHIME/ILT J1634+44,LPT J1634+4450,16:34:29.96(3),44:50:13.5(1.1),70.1707,0.0001,42.5754,0.0003,14.0,False,-9.03e-12,0.11e-12,<0.012,~100%,up to 100%,up to 100%,22.5,5.5,6.27,0.04,Significant spin-up rate; likely white dwarf binary system,bvb+25:2507.05078; dsl+25:2507.05139
ASKAP J144834-685644,LPT J1448-6856,14:48:34.29(2),-68:56:44.1(3),313.1644,0.0001,-8.4339,0.0001,93.9,True,4.44e-9,-,0.15-0.7,35-100%,up to 82%,up to 100%,-,-,-,-,Found with optical and X-ray counterparts,akr+25:2507.13453
ASKAP J142431.2-612611,LPT J1424-6126,14:24:31.40(6),-61:26:10.8(2),313.8213,0.0001,-0.5483,0.0001,35.8,True,1.0e-8,-,-,100%,up to 100%,8%,1400,100,-222,-,No counterpart found,pmd+26:2603.07857
ASKAP J174508.9-505149,LPT J1745-5051,17:45:08.929(60),-50:51:49.86(3),340.9999,0.0001,-11.1550,0.0001,80.7,True,1.5e-8,-,0.02-0.25,-,23-97%,0-56%,-,-,-,-,Accreting white dwarf binary with periodic X-ray emission,rpm+26:doi:10.1038/s41550-026-02882-x
